train_ar,test_ar,simulation,mae,rmse,r2,mape,error_mean,error_std
0.3,0.3,1,0.5332493724141179,0.5332784704187074,-2863.3143708463595,0.15106261768727083,0.5332493724141179,0.00557080174351072
0.3,0.3,2,0.2269641931774741,0.22701275811226548,-518.0546799040138,0.06429598796530006,0.2269641931774741,0.004695461748983833
0.3,0.3,3,0.5530039760708543,0.5530316445490936,-3079.438519853734,0.15665884215543907,0.5530039760708543,0.005531936595901167
0.3,0.3,4,0.6597918041917389,0.6598156208547395,-4383.880546775548,0.18691045449377872,0.6597918041917389,0.005606125697451841
0.3,0.3,5,0.5317847637712113,0.5318116871387674,-2847.579437673084,0.1506477147248819,0.5317847637712113,0.005351223988889437
0.3,0.4,1,88.90651842148081,88.90714517240626,-178718.39345395417,21.51518335909625,88.90651842148081,0.3338336085772072
0.3,0.4,2,83.66587034339233,83.66594319345305,-158267.9693399119,20.246931901694264,83.66587034339233,0.11040893431583153
0.3,0.4,3,76.97933035638225,76.97958905022982,-133981.9476492657,18.62881898654142,76.97933035638225,0.19957010103644035
0.3,0.4,4,87.52014137056207,87.52101561470128,-173189.09435948962,21.179690573227013,87.52014137056207,0.3911888362593915
0.3,0.4,5,109.00560142340215,109.00612205232802,-268657.21866093547,26.37910894436908,109.00560142340215,0.3369023737139973
0.3,0.5,1,60.31630198207538,60.31633949619146,-833639.2956818418,14.52656059638486,60.31630198207538,0.06727129339509623
0.3,0.5,2,60.793088607918534,60.793124388061926,-846870.8027099023,14.64138981917166,60.793088607918534,0.06595735088029465
0.3,0.5,3,62.97670943435843,62.97674450881105,-908800.7575428043,15.167292496650298,62.97670943435843,0.06646614516908245
0.3,0.5,4,59.49350830531086,59.4935433093226,-811050.4697574099,14.32839927660616,59.49350830531086,0.0645369983136212
0.3,0.5,5,91.66078295583887,91.66083939324636,-1925201.446871272,22.075556281671872,91.66078295583887,0.10171625780770244
0.4,0.3,1,30.848729833304105,30.848729938278712,-9584889.544159442,8.739046842614504,30.848729833304105,0.002544929574891997
0.4,0.3,2,45.78600458292168,45.78600553868037,-21114367.342174865,12.97058386430622,45.78600458292168,0.00935525228525657
0.4,0.3,3,36.65089109884262,36.650891652731964,-13529496.605492292,10.382724184789904,36.65089109884262,0.006371897335752918
0.4,0.3,4,50.870807887089605,50.870808405810436,-26064526.659768213,14.41104300540886,50.870807887089605,0.007264674505112891
0.4,0.3,5,45.463110766434525,45.46311161035333,-20817610.233838093,12.879112219852631,45.463110766434525,0.008759814447904673
0.4,0.4,1,1.59971164081597,1.6085401595313837,-57.50084885688649,0.38710528818491957,1.59971164081597,0.16829768585196722
0.4,0.4,2,2.4028582205208457,2.4074002705979893,-130.03730770922343,0.5814671879161035,2.4028582205208457,0.14781216103781117
0.4,0.4,3,2.717546051978051,2.720508896609355,-166.33957144762584,0.6576233698189987,2.717546051978051,0.12693349403982465
0.4,0.4,4,2.6553482023425667,2.65747287484109,-158.67467178368778,0.6425742040452469,2.6553482023425667,0.10624502262349739
0.4,0.4,5,1.5546191595868486,1.5547721422864698,-53.65524589648464,0.3762113268288845,1.5546191595868486,0.021810159915522275
0.4,0.5,1,5.984021643569411,5.984452031285404,-8205.49152578402,1.4411875346091225,5.984021643569411,0.07177105300074768
0.4,0.5,2,7.132966175380954,7.133397934176013,-11659.083171709784,1.7178987927931062,7.132966175380954,0.07848329871902462
0.4,0.5,3,4.913696882281717,4.91431302143149,-5532.939112938357,1.1834105535182615,4.913696882281717,0.07781658991524668
0.4,0.5,4,5.586824746580709,5.587305972766217,-7152.418849287305,1.3455266729446838,5.586824746580709,0.07332996865153209
0.4,0.5,5,2.28671790149225,2.2879183058291916,-1198.4710521291918,0.5507297311388253,2.28671790149225,0.07410406968039462
0.5,0.3,1,8.88314699114665,8.883221631946792,-794791.1627626508,2.516481140352074,8.88314699114665,0.036415600635504274
0.5,0.3,2,20.91174567365775,20.91177760244641,-4404477.391748711,5.92402784265139,20.91174567365775,0.036542775423088265
0.5,0.3,3,16.16513863851827,16.165146679678582,-2631914.125754783,4.579375191428949,16.16513863851827,0.016123678467148326
0.5,0.3,4,4.962373694004161,4.962431242539221,-248027.49922881505,1.4057765876666592,4.962373694004161,0.023898911792203496
0.5,0.3,5,47.71258466062823,47.71259913929112,-22928662.008329697,13.516358903142315,-47.71258466062823,0.03717027128357401
0.5,0.4,1,22.22929366321214,22.23355369083984,-11175.764971224771,5.379483771967307,22.22929366321214,0.4352159902100139
0.5,0.4,2,27.178903012366657,27.1852061197782,-16708.50604924894,6.577294525053596,27.178903012366657,0.5853740848319202
0.5,0.4,3,7.710435569376196,7.715448622759289,-1344.924562148391,1.8659392534949693,7.710435569376196,0.2780841256465053
0.5,0.4,4,1.5168192661536035,1.5238381738422968,-51.50202438477289,0.36708418009582716,1.5168192661536035,0.14608933528587711
0.5,0.4,5,20.303029359574875,20.3249012740336,-9339.179894671945,4.913395187709226,20.303029359574875,0.9426614574985692
0.5,0.5,1,1.2816582514939983,1.2818803716826366,-375.5336031246442,0.30867334027393695,1.2816582514939983,0.023862390545833775
0.5,0.5,2,1.449169426101157,1.449303320335214,-480.31269787158476,0.3490168493947275,1.449169426101157,0.019699969246644373
0.5,0.5,3,1.6637941319165586,1.66437870589985,-633.7651083221782,0.40070607488808896,1.6637941319165586,0.04410853945535664
0.5,0.5,4,1.030409777296205,1.0309530528129394,-242.54909655568667,0.248162352213049,1.030409777296205,0.03346472705258823
0.5,0.5,5,0.8405582017075685,0.8409611116312574,-161.05430458062528,0.20243883089626524,0.8405582017075685,0.02602884588717969
